出現紀錄識別碼,階層,學名,中文名,緯度,經度,採樣日期,資料主題,資料來源,引用資訊
ODB:bio:occ:155678,species,Gymnura japonica,日本燕魟,24.455,118.52833,2021-08-15,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155679,species,Gymnura japonica,日本燕魟,24.455,118.52833,2021-08-15,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155680,species,Hemitrygon akajei,赤魟,24.455,118.52833,2021-08-15,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155681,species,Hemitrygon navarrae,奈氏魟,24.455,118.52833,2021-08-15,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138049,species,Lagocephalus lunaris,月尾兔頭魨,24.2876666666667,119.800166666667,2021-09-04,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138158,species,Upeneus japonicus,日本緋鯉,24.0671166666667,120.156966666667,2021-05-12,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138157,species,Trichiurus japonicus,日本帶魚,24.0671166666667,120.156966666667,2021-05-12,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138156,species,Telatrygon zugei,尖嘴魟,24.0671166666667,120.156966666667,2021-05-12,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138155,species,Sphyrna lewini,路易氏雙髻鯊,24.0671166666667,120.156966666667,2021-05-12,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138154,species,Pomadasys kaakan,星雞魚,24.0671166666667,120.156966666667,2021-05-12,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138153,species,Lagocephalus spadiceus,棕斑兔頭魨,24.0671166666667,120.156966666667,2021-05-12,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138152,species,Upeneus japonicus,日本緋鯉,24.2823833333333,119.79755,2021-05-12,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138151,species,Telatrygon zugei,尖嘴魟,24.2823833333333,119.79755,2021-05-12,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138150,species,Siganus fuscescens,褐臭肚魚,24.2823833333333,119.79755,2021-05-12,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138149,species,Leiognathus ruconius,,24.2823833333333,119.79755,2021-05-12,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138019,species,Lagocephalus lunaris,月尾兔頭魨,23.6539833333333,120.032566666667,2021-05-09,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138018,species,Ephippus orbis,圓白鯧,23.6539833333333,120.032566666667,2021-05-09,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138017,species,Cynoglossus bilineatus,雙線舌鰨,23.6539833333333,120.032566666667,2021-05-09,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138015,species,Trachinocephalus trachinus,,23.8251833333333,120.0663,2021-09-03,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138014,species,Telatrygon zugei,尖嘴魟,23.8251833333333,120.0663,2021-09-03,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138013,species,Takifugu oblongus,橫紋多紀魨,23.8251833333333,120.0663,2021-09-03,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138012,species,Sillago japonica,日本沙鮻,23.8251833333333,120.0663,2021-09-03,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138011,species,Saurida macrolepis,,23.8251833333333,120.0663,2021-09-03,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138010,species,Neotrygon orientalis,,23.8251833333333,120.0663,2021-09-03,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138009,species,Equulites popei,,23.8251833333333,120.0663,2021-09-03,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138008,species,Equulites oblongus,,23.8251833333333,120.0663,2021-09-03,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138007,species,Cynoglossus bilineatus,雙線舌鰨,23.8251833333333,120.0663,2021-09-03,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138006,species,Chiloscyllium plagiosum,條紋狗鯊,23.8251833333333,120.0663,2021-09-03,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138005,species,Apogonichthyoides nigripinnis,黑鰭似天竺鯛,23.8251833333333,120.0663,2021-09-03,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138004,species,Upeneus japonicus,日本緋鯉,24.97685,120.638216666667,2021-09-06,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138003,species,Trichiurus japonicus,日本帶魚,24.97685,120.638216666667,2021-09-06,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138002,species,Telatrygon zugei,尖嘴魟,24.97685,120.638216666667,2021-09-06,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138001,species,Stephanolepis cirrhifer,絲背冠鱗單棘魨,24.97685,120.638216666667,2021-09-06,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:138000,species,Sphyrna lewini,路易氏雙髻鯊,24.97685,120.638216666667,2021-09-06,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:137999,species,Scomber japonicus,白腹鯖,24.97685,120.638216666667,2021-09-06,Demersal Fish,OCA project,陳韋仁、黃千芬、魏志潾、單偉彌、柯佳吟（2021）。110年度臺灣海域重要生態系及海洋保護區調查與生態服務價值評估。海洋委員會海洋保育署。 Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
