date,sst_anomaly
2006-10-01,0.786653
2006-11-01,1.0513491625
2006-12-01,1.225917275
2007-01-01,0.85662925
2007-02-01,0.1588676625
2007-03-01,0.0302545
2007-04-01,0.0732124
2007-05-01,-0.27658364999999996
2007-06-01,0.0503747625
2007-07-01,-0.283731925
2007-08-01,-0.51595845
2007-09-01,-0.84018845
2007-10-01,-1.1011817125
2007-11-01,-1.2709291125
2007-12-01,-1.11648975
2008-01-01,-1.5293426374999999
2008-02-01,-1.45808805
2008-03-01,-0.8240223125
2008-04-01,-0.67094105
2008-05-01,-0.5249608625
2008-06-01,-0.45251769999999997
2008-07-01,-0.107710775
2008-08-01,0.02125765
2008-09-01,-0.1946682
2008-10-01,-0.0771457125
2008-11-01,-0.16213345
2008-12-01,-0.7461528875
2009-01-01,-0.7243912125
2009-02-01,-0.5242291625000001
2009-03-01,-0.51912665
2009-04-01,0.0156834875
2009-05-01,0.36030694999999996
2009-06-01,0.6274935375
2009-07-01,0.7017713750000001
2009-08-01,0.7918101875
2009-09-01,0.7894498125
2009-10-01,1.051998575
2009-11-01,1.6604946125
2009-12-01,1.819378
2010-01-01,1.666951525
2010-02-01,1.2963739625000001
2010-03-01,1.27958195
2010-04-01,0.7969289875
2010-05-01,0.036847437499999997
2010-06-01,-0.39178511250000003
2010-07-01,-0.80702165
2010-08-01,-1.1621866375
2010-09-01,-1.293496375
2010-10-01,-1.3018974375
2010-11-01,-1.2666853625
2010-12-01,-1.11810245
2011-01-01,-1.4019279624999998
2011-02-01,-1.1234073249999998
2011-03-01,-0.7124438375
2011-04-01,-0.570894325
2011-05-01,-0.209426925
2011-06-01,-0.100448775
2011-07-01,-0.022286725
2011-08-01,-0.3270890625
2011-09-01,-0.6208551125
2011-10-01,-0.5918874749999999
2011-11-01,-0.8050703499999999
2011-12-01,-0.89497195
2012-01-01,-0.5548543499999999
2012-02-01,-0.479673175
2012-03-01,-0.3258635
2012-04-01,-0.342457
2012-05-01,-0.019773587500000002
2012-06-01,0.4634764625
2012-07-01,0.443368125
2012-08-01,0.803272725
2012-09-01,0.50085
2012-10-01,0.4899965375
2012-11-01,0.6930397375
2012-12-01,-0.40219038749999997
2013-01-01,-0.41717925
2013-02-01,-0.4394692
2013-03-01,-0.08787911250000001
2013-04-01,0.3090013875
2013-05-01,-0.1566946125
2013-06-01,-0.1524669625
2013-07-01,-0.1096921875
2013-08-01,-0.4094319125
2013-09-01,0.106073725
2013-10-01,-0.0383147875
2013-11-01,0.0986152625
2013-12-01,-0.0952739875
2014-01-01,-0.42900628749999997
2014-02-01,-0.8196327125
2014-03-01,-0.241050775
2014-04-01,0.3809975625
2014-05-01,0.6436758499999999
2014-06-01,0.6804159
2014-07-01,0.095923575
2014-08-01,0.058953137499999995
2014-09-01,0.374635875
2014-10-01,0.5657708874999999
2014-11-01,0.946988975
2014-12-01,0.728588825
2015-01-01,0.5949374000000001
2015-02-01,0.82195855
2015-03-01,0.5607090875
2015-04-01,1.0292458999999998
2015-05-01,1.0281045125000001
2015-06-01,1.261156975
2015-07-01,1.4598142250000001
2015-08-01,1.79678075
2015-09-01,1.9009090125
2015-10-01,2.4066151249999996
2015-11-01,2.9976146625
2015-12-01,2.556455
2016-01-01,2.6377072375
2016-02-01,2.3773095375
2016-03-01,1.7645350499999999
2016-04-01,1.1677296
2016-05-01,0.386831125
2016-06-01,0.146730225
2016-07-01,-0.33184278749999996
2016-08-01,-0.4440840875
2016-09-01,-0.4117874875
2016-10-01,-0.6088718750000001
2016-11-01,-0.48885965
2016-12-01,-0.2691463375
2017-01-01,-0.198980525
2017-02-01,0.162715775
2017-03-01,0.30330077499999997
2017-04-01,0.5295348625
2017-05-01,0.5803460625
2017-06-01,0.5753051875
2017-07-01,0.4245401
2017-08-01,0.0055143625
2017-09-01,-0.281780425
2017-10-01,-0.26878722499999996
2017-11-01,-0.770707975
2017-12-01,-0.8757588625
2018-01-01,-0.6351273
2018-02-01,-0.632633325
2018-03-01,-0.6555228
2018-04-01,-0.3462898875
2018-05-01,0.0467616875
2018-06-01,0.35598250000000004
2018-07-01,0.37945080000000003
2018-08-01,0.3722956375
2018-09-01,0.3883949625
2018-10-01,1.0156228
2018-11-01,1.0701303875000001
2018-12-01,1.0118616
2019-01-01,0.7769021625
2019-02-01,0.7916882000000001
2019-03-01,1.1239986624999998
2019-04-01,0.9215946125000001
2019-05-01,0.9284517250000001
2019-06-01,0.8013674875000001
2019-07-01,0.58188395
2019-08-01,0.23424905000000001
2019-09-01,0.034193737499999995
2019-10-01,0.6611637125
2019-11-01,0.6481329875
2019-12-01,0.5155016124999999
2020-01-01,0.618140025
2020-02-01,0.42056201249999997
2020-03-01,0.597365925
2020-04-01,0.5963774375
2020-05-01,-0.08226585
2020-06-01,-0.10598885
2020-07-01,-0.0078796625
2020-08-01,-0.47725075
2020-09-01,-0.61425875
2020-10-01,-1.0387375374999999
2020-11-01,-1.0722304875
2020-12-01,-0.9228231124999999
2021-01-01,-0.8335732
2021-02-01,-0.8126925374999999
2021-03-01,-0.43359963749999997
2021-04-01,-0.3939874375
2021-05-01,-0.15090435
2021-06-01,0.16526122499999998
2021-07-01,-0.039928225
2021-08-01,-0.205816125
