date,sst
1991-09-01,26.998461763620377
1991-10-01,27.35307330226898
1991-11-01,27.667765298604966
1991-12-01,28.131927917718887
1992-01-01,28.238914755821227
1992-02-01,28.290546313762665
1992-03-01,28.394596113920212
1992-04-01,28.811857527971267
1992-05-01,28.77771860718727
1992-06-01,28.06820101237297
1992-07-01,27.386274008750917
1992-08-01,26.742172719717026
1992-09-01,26.5235340116024
1992-10-01,26.171059146404268
1992-11-01,26.56640142273903
1992-12-01,26.724788474559784
1993-01-01,26.647172311306
1993-02-01,26.998007093906402
1993-03-01,27.408637491703033
1993-04-01,28.108577075481413
1993-05-01,28.515541731357576
1993-06-01,27.821896197080612
1993-07-01,27.457314798355103
1993-08-01,26.777045253276825
1993-09-01,26.921443857431413
1993-10-01,26.883026034832
1993-11-01,26.819115176677705
1993-12-01,26.65847866129875
1994-01-01,26.50547316455841
1994-02-01,26.5813598985672
1994-03-01,27.320237431764603
1994-04-01,27.846417172431945
1994-05-01,27.963169863939285
1994-06-01,27.804493225336074
1994-07-01,27.226198382139206
1994-08-01,27.268417640209197
1994-09-01,26.969652229309084
1994-10-01,27.322634869813918
1994-11-01,27.69493842744827
1994-12-01,27.77557622408867
1995-01-01,27.267668137073517
1995-02-01,27.322724174976347
1995-03-01,27.476859400987625
1995-04-01,27.849018480062483
1995-05-01,27.609407958745955
1995-06-01,27.28568290090561
1995-07-01,27.01618605709076
1995-08-01,26.240390340328215
1995-09-01,26.02426243638992
1995-10-01,25.730462198019026
1995-11-01,25.724797531843187
1995-12-01,25.64455356860161
1996-01-01,25.660096142530442
1996-02-01,25.87945364379883
1996-03-01,26.509540192604064
1996-04-01,27.277651882886886
1996-05-01,27.3355835878849
1996-06-01,27.186611644268037
1996-07-01,26.8860903198719
1996-08-01,26.52886243891716
1996-09-01,26.343454911470413
1996-10-01,26.125083020448685
1996-11-01,26.31505665946007
1996-12-01,25.960270302295683
1997-01-01,25.868615270376207
1997-02-01,26.289193624734878
1997-03-01,26.824168226718903
1997-04-01,27.66186084151268
1997-05-01,28.271192519426346
1997-06-01,28.531985825777053
